model,dataset,auroc,auprc,fpr@tpr95,time execution
DINO,RoadObstacle21,75.8114%,0.0363%,35.0982%,2.9
DINO,RoadAnomaly21,84.1129%,14.0787%,74.6746%,1.91
DINO,RoadAnomaly,52.1450%,7.4570%,78.0807%,2.1
DINO,fs_static,94.5878%,37.5729%,16.8452%,3.47
DINO,FS_LostFound_full,26.8841%,0.0337%,76.2434%,2.95
MOCOV1,RoadObstacle21,5.4465%,0.0098%,97.6091%,3.85
MOCOV1,RoadAnomaly21,82.4082%,5.3828%,58.0910%,2.32
MOCOV1,RoadAnomaly,72.4216%,12.8758%,83.4672%,2.38
MOCOV1,fs_static,13.4129%,1.5925%,99.9576%,4.34
MOCOV1,FS_LostFound_full,88.5319%,1.9536%,44.4587%,4.15
MOCOV2_200,RoadObstacle21,50.7941%,0.0172%,72.3663%,3.35
MOCOV2_200,RoadAnomaly21,49.9294%,2.0131%,94.3540%,2
MOCOV2_200,RoadAnomaly,30.4652%,4.4152%,97.7545%,2.11
MOCOV2_200,fs_static,17.3847%,1.7532%,99.7456%,3.5
MOCOV2_200,FS_LostFound_full,53.9884%,0.2926%,94.3775%,3.34
MOCOV2_800,RoadObstacle21,21.1235%,0.0119%,79.9393%,4.28
MOCOV2_800,RoadAnomaly21,64.8965%,4.4979%,92.0139%,2.38
MOCOV2_800,RoadAnomaly,55.6542%,6.9771%,83.5101%,2.71
MOCOV2_800,fs_static,16.0007%,2.1414%,99.9988%,4.6
MOCOV2_800,FS_LostFound_full,74.5167%,0.1443%,46.1454%,4.11
SIMSIAM256,RoadObstacle21,12.9415%,0.0100%,99.5934%,3.61
SIMSIAM256,RoadAnomaly21,60.9597%,3.2114%,92.4255%,2.38
SIMSIAM256,RoadAnomaly,63.3435%,9.7831%,93.8809%,1.99
SIMSIAM256,fs_static,28.0093%,1.8794%,99.2815%,3.55
SIMSIAM256,FS_LostFound_full,80.1819%,0.8111%,58.7594%,2.83
SIMSIAM512,RoadObstacle21,1.5053%,0.0096%,99.4075%,3.89
SIMSIAM512,RoadAnomaly21,60.5305%,2.5553%,71.9526%,2.27
SIMSIAM512,RoadAnomaly,82.8331%,21.6739%,63.7183%,2.42
SIMSIAM512,fs_static,21.3630%,1.7091%,99.6435%,3.93
SIMSIAM512,FS_LostFound_full,64.4282%,0.0672%,73.4655%,3.3
VICREG,RoadObstacle21,37.1255%,0.0142%,73.1578%,4.04
VICREG,RoadAnomaly21,48.2455%,1.6929%,92.7748%,2.83
VICREG,RoadAnomaly,73.0603%,13.0935%,75.4398%,2.42
VICREG,fs_static,15.5410%,1.8723%,99.8613%,4.61
VICREG,FS_LostFound_full,72.2681%,0.0816%,36.9623%,4.02
VICREGX2,RoadObstacle21,1.6886%,0.0096%,99.2034%,3.84
VICREGX2,RoadAnomaly21,72.6796%,3.6168%,69.7814%,2.2
VICREGX2,RoadAnomaly,84.1503%,27.6512%,84.8423%,2.11
VICREGX2,fs_static,33.5679%,2.9584%,99.9050%,3.51
VICREGX2,FS_LostFound_full,83.7301%,0.2523%,28.9374%,3.17
IMAGENET,RoadObstacle21,19.7475%,0.0112%,91.4737%,2.95
IMAGENET,RoadAnomaly21,82.8352%,10.6494%,65.2793%,1.88
IMAGENET,RoadAnomaly,90.3052%,26.9393%,19.9692%,2.16
IMAGENET,fs_static,92.3188%,16.0621%,13.9357%,3.59
IMAGENET,FS_LostFound_full,31.5385%,0.0352%,75.8652%,3.03
