model,dataset,auroc,auprc,fpr@tpr95,time execution
DINO,RoadObstacle21,75.811%,0.036%,35.098%,2.93
DINO,RoadAnomaly21,84.113%,14.079%,74.675%,1.93
DINO,RoadAnomaly,52.145%,7.457%,78.081%,2.09
DINO,fs_static,94.588%,37.573%,16.845%,3.47
DINO,FS_LostFound_full,26.884%,0.034%,76.243%,2.96
MOCOV1,RoadObstacle21,79.309%,0.044%,23.659%,2.89
MOCOV1,RoadAnomaly21,91.376%,13.256%,52.343%,2.01
MOCOV1,RoadAnomaly,84.786%,21.632%,58.691%,2.43
MOCOV1,fs_static,94.988%,41.315%,13.289%,3.75
MOCOV1,FS_LostFound_full,58.654%,0.210%,68.254%,3.51
MOCOV2_200,RoadObstacle21,77.05846%,0.03929%,30.13247%,3.04
MOCOV2_200,RoadAnomaly21,85.03802%,7.07126%,71.45117%,2.05
MOCOV2_200,RoadAnomaly,83.87659%,16.40432%,18.55596%,2.62
MOCOV2_200,fs_static,93.94087%,31.45106%,22.67938%,3.62
MOCOV2_200,FS_LostFound_full,46.30111%,0.09446%,73.81496%,3.73
MOCOV2_800,RoadObstacle21,65.50116%,0.02947%,99.71677%,2.8
MOCOV2_800,RoadAnomaly21,64.21680%,2.85831%,79.86550%,2.05
MOCOV2_800,RoadAnomaly,66.50174%,10.77205%,65.29229%,2.36
MOCOV2_800,fs_static,95.17343%,69.77639%,23.59642%,3.46
MOCOV2_800,FS_LostFound_full,50.37438%,0.06942%,71.94664%,3.41
SIMSIAM256,RoadObstacle21,32.98261%,0.01323%,85.00226%,2.9
SIMSIAM256,RoadAnomaly21,83.04689%,6.61776%,59.30301%,2.09
SIMSIAM256,RoadAnomaly,62.63940%,11.35243%,63.15140%,2.29
SIMSIAM256,fs_static,96.94199%,59.61993%,11.99683%,3.49
SIMSIAM256,FS_LostFound_full,24.80691%,0.03342%,76.44737%,3.1
SIMSIAM512,RoadObstacle21,60.64100%,0.02586%,99.99825%,2.86
SIMSIAM512,RoadAnomaly21,84.26000%,9.05615%,69.44220%,2.11
SIMSIAM512,RoadAnomaly,28.89620%,5.04086%,96.65600%,2.23
SIMSIAM512,fs_static,95.667%,50.855%,15.809%,3.56
SIMSIAM512,FS_LostFound_full,47.820%,0.054%,75.442%,3.11
VICREG,RoadObstacle21,0.513%,0.009%,99.933%,3.01
VICREG,RoadAnomaly21,88.592%,8.339%,31.452%,2.09
VICREG,RoadAnomaly,82.940%,16.191%,25.175%,2.25
VICREG,fs_static,94.708%,38.095%,21.136%,3.18
VICREG,FS_LostFound_full,71.052%,0.117%,53.794%,3.31
VICREGX2,RoadObstacle21,63.163%,0.025%,82.817%,3.32
VICREGX2,RoadAnomaly21,92.563%,21.349%,35.045%,2.02
VICREGX2,RoadAnomaly,16.627%,3.935%,95.956%,2.25
VICREGX2,fs_static,93.183%,32.791%,21.457%,3.21
VICREGX2,FS_LostFound_full,45.868%,0.054%,66.925%,2.97
IMAGENET,RoadObstacle21,19.75%,0.01%,91.47%,2.58
IMAGENET,RoadAnomaly21,82.84%,10.65%,65.28%,1.81
IMAGENET,RoadAnomaly,90.305%,26.939%,19.969%,2.05
IMAGENET,fs_static,92.319%,16.062%,13.936%,3.5
IMAGENET,FS_LostFound_full,31.539%,0.035%,75.865%,2.97
